0.865,0.079,0.040,0.425,0.415,0.017 
0.869,0.067,0.034,0.379,0.293,0.017 
0.822,0.086,0.042,0.472,0.319,0.017 
0.683,0.084,0.043,0.447,0.333,0.017 
0.674,0.082,0.041,0.464,0.392,0.017 
0.818,0.077,0.037,0.433,0.276,0.018 
0.702,0.076,0.041,0.493,0.139,0.018 
0.757,0.071,0.035,0.367,0.125,0.018 
0.792,0.037,0.014,0.073,0.486,0.018 
0.687,0.090,0.042,0.468,0.225,0.018 
0.788,0.080,0.040,0.435,0.413,0.019 
0.729,0.070,0.040,0.383,0.243,0.019 
0.770,0.072,0.037,0.362,0.384,0.019 
0.781,0.056,0.032,0.253,0.198,0.019 
0.808,0.034,0.025,0.116,0.366,0.020 
0.772,0.059,0.036,0.288,0.569,0.020 
0.835,0.080,0.036,0.401,0.299,0.020 
0.637,0.063,0.035,0.345,0.753,0.020 
0.802,0.061,0.034,0.321,0.298,0.020 
0.842,0.063,0.030,0.278,0.329,0.104 
0.735,0.071,0.046,0.245,0.212,0.956 
0.791,0.050,0.037,0.164,0.518,0.966 
0.775,0.058,0.039,0.346,0.350,1.014 
0.841,0.064,0.032,0.301,0.340,0.104 
0.794,0.055,0.028,0.270,0.383,0.104 
0.815,0.071,0.044,0.408,0.226,0.124 
0.775,0.043,0.031,0.139,0.292,0.001 
0.696,0.060,0.035,0.302,0.268,0.996 
